JACOB OSEI YEBOAH,IND,45,2012,NINGO-PRAMPRAM,P
ENOCH TEYE MENSAH,NDC,21178,2012,NINGO-PRAMPRAM,M
SYLVESTER TETTEH,NPP,17122,2012,NINGO-PRAMPRAM,M
NII OKINE MENSAH,PPP,447,2012,NINGO-PRAMPRAM,M
FREDERICK MARMAH MARTEY,CPP,429,2012,NINGO-PRAMPRAM,M
MICHAEL KWETEY TETTEH,NDP,0,2012,NINGO-PRAMPRAM,M
JOHN MAHAMA,NDC,45555,2012,Odododiodoo,P
HENRY LARTEY,GCPP,73,2012,Odododiodoo,P
NANA AKUFO-ADDO,NPP,27047,2012,Odododiodoo,P
PAA KWESI NDUOM,PPP,256,2012,Odododiodoo,P
AKWASI ADAE,UFP,12,2012,Odododiodoo,P
HASSAN AYARIGA,PNC,20,2012,Odododiodoo,P
ABU SAKARA,CPP,45,2012,Odododiodoo,P
JACOB OSEI YEBOAH,IND,7,2012,Odododiodoo,P
NII LANTEY VANDERPUYE,NDC,45967,2012,Odododiodoo,M
VICTOR NII OKAIKOI,NPP,26269,2012,Odododiodoo,M
EMMANUEL NII AKO ODDOYE,PPP,745,2012,Odododiodoo,M
JOHN MAHAMA,NDC,22777,2012,Okaikwei Central,P
HENRY LARTEY,GCPP,41,2012,Okaikwei Central,P
NANA AKUFO-ADDO,NPP,26401,2012,Okaikwei Central,P
PAA KWESI NDUOM,PPP,191,2012,Okaikwei Central,P
AKWASI ADAE,UFP,11,2012,Okaikwei Central,P
HASSAN AYARIGA,PNC,17,2012,Okaikwei Central,P
ABU SAKARA,CPP,35,2012,Okaikwei Central,P
JACOB OSEI YEBOAH,IND,11,2012,Okaikwei Central,P
PATRICK YAW BOAMAH,NPP,27667,2012,Okaikwei Central,M
JOHN KWESI MENSAH,NDC,20403,2012,Okaikwei Central,M
MIKE EGHAN JNR,PPP,914,2012,Okaikwei Central,M
ABUBAKAR SADICK WIYOR,PNC,126,2012,Okaikwei Central,M
GRACE ADU YEBOAH,NDP,63,2012,Okaikwei Central,M
ADU-SARKWA SAMUEL,DPP,41,2012,Okaikwei Central,M
JOHN MAHAMA,NDC,26927,2012,OKAIKWEI NORTH,P
HENRY LARTEY,GCPP,46,2012,OKAIKWEI NORTH,P
NANA AKUFO-ADDO,NPP,28094,2012,OKAIKWEI NORTH,P
PAA KWESI NDUOM,PPP,208,2012,OKAIKWEI NORTH,P
AKWASI ADAE,UFP,7,2012,OKAIKWEI NORTH,P
HASSAN AYARIGA,PNC,21,2012,OKAIKWEI NORTH,P
