PAA KWESI NDUOM,,PPP,336,2012,GOMOA EAST,,,P
AKWASI ADAE,,UFP,19,2012,GOMOA EAST,,,P
HASSAN AYARIGA,,PNC,32,2012,GOMOA EAST,,,P
ABU SAKARA,,CPP,35,2012,GOMOA EAST,,,P
JACOB OSEI YEBOAH,,IND,31,2012,GOMOA EAST,,,P
EKOW PANYIN OKYERE EDUAMOAH,,NDC,18538,2012,GOMOA EAST,,,M
RICHMOND SAM QUARM,,NPP,15449,2012,GOMOA EAST,,,M
MOHAMMED ISSAKA,,PPP,685,2012,GOMOA EAST,,,M
JOHN AMOASI,,NDP,557,2012,GOMOA EAST,,,M
GODFRED KUMEDZRO CUDJO,,CPP,505,2012,GOMOA EAST,,,M
JOHN MAHAMA,,NDC,28810,2012,GOMOA WEST,,,P
HENRY LARTEY,,GCPP,305,2012,GOMOA WEST,,,P
NANA AKUFO-ADDO,,NPP,18756,2012,GOMOA WEST,,,P
PAA KWESI NDUOM,,PPP,549,2012,GOMOA WEST,,,P
AKWASI ADAE,,UFP,49,2012,GOMOA WEST,,,P
HASSAN AYARIGA,,PNC,91,2012,GOMOA WEST,,,P
ABU SAKARA,,CPP,77,2012,GOMOA WEST,,,P
JACOB OSEI YEBOAH,,IND,52,2012,GOMOA WEST,,,P
FRANCIS KOJO ARTHUR,,NDC,27624,2012,GOMOA WEST,,,M
EDWIN ABAKAH WILLIAMS,,NPP,19310,2012,GOMOA WEST,,,M
LEAN ADDISON SIMPSON,,PPP,1808,2012,GOMOA WEST,,,M
JOHN MAHAMA,,NDC,12727,2012,HEMANG LOWER DENKYIRA,,,P
HENRY LARTEY,,GCPP,133,2012,HEMANG LOWER DENKYIRA,,,P
NANA AKUFO-ADDO,,NPP,12844,2012,HEMANG LOWER DENKYIRA,,,P
PAA KWESI NDUOM,,PPP,267,2012,HEMANG LOWER DENKYIRA,,,P
AKWASI ADAE,,UFP,20,2012,HEMANG LOWER DENKYIRA,,,P
HASSAN AYARIGA,,PNC,25,2012,HEMANG LOWER DENKYIRA,,,P
